YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
1993, 08, 10, 45.064, +166.911, 7.0, mw
2008, 09, 29, 30.097, 177.634, 7.0, MW
2012, 04, 12, +28.839, 113.127, 7.0, MW
2000, 12, 06, +39.493, +54.811, 7.0, Mw
2001, 01, 10, +56.986, 153.462, 7.0, MW
1997, 01, 23, 22.050, 65.692, 7.0, mw
2018, 11, 30, +61.346, 149.955, 7.0, mww
2004, 02, 05, 3.646, +135.522, 7.0, MW
2011, 08, 24, 7.620, 74.538, 7.0, MW
1998, 08, 04, 0.554, 80.315, 7.0, mw
2008, 06, 30, 58.284, 21.979, 7.0, MW
1996, 06, 11, +12.650, +125.202, 7.0, mw
2003, 10, 31, +37.854, +142.614, 7.0, MW
1995, 05, 05, +12.628, +125.281, 7.0, mw
1991, 07, 06, 13.192, 72.223, 7.0, mw
2010, 09, 29, 4.986, +133.775, 7.0, MW
1999, 01, 19, 4.721, +153.270, 7.0, Mw
2019, 03, 01, 14.702, 70.135, 7.0, mww
1994, 03, 14, 1.109, 23.538, 7.0, mw
1998, 11, 09, 6.956, +128.961, 7.0, mw
1994, 01, 21, +1.034, +127.782, 7.0, mw
2010, 09, 03, 43.361, +171.902, 7.0, MW
1990, 10, 17, 11.009, 70.767, 7.0, mw
1993, 08, 09, +36.355, +70.874, 7.0, mw
1984, 03, 19, +40.348, +63.361, 7.0, mw
2011, 07, 10, +38.055, +143.302, 7.0, MW
2016, 11, 24, +11.960, 88.835, 7.0, mww
1989, 09, 04, +55.577, 156.858, 7.0, mw
2001, 10, 12, +12.716, +144.975, 7.0, MW
1998, 01, 30, 23.838, 70.161, 7.0, mw
1987, 01, 30, 60.053, 26.885, 7.0, mw
1997, 11, 15, 15.127, +167.344, 7.0, mw
2006, 03, 03, +13.640, +120.148, 7.0, MS
2011, 01, 01, 26.851, 63.237, 7.0, MW
2014, 04, 01, 19.962, 71.018, 7.0, MW
1988, 07, 25, 6.069, +133.664, 7.0, mw
1996, 07, 22, +1.017, +120.477, 7.0, mw
1985, 04, 13, +1.649, +126.505, 7.0, mw
2013, 02, 06, 10.509, +165.817, 7.0, MW
1987, 03, 06, +0.123, 77.805, 7.0, mw
1989, 05, 05, 8.280, 71.393, 7.0, mw
2013, 02, 08, 10.893, +166.145, 7.0, MW
1997, 02, 27, +29.961, +68.202, 7.0, mw
2013, 02, 09, +1.034, 77.462, 7.0, MW
1986, 04, 30, +18.369, 103.010, 7.0, mw
1985, 11, 28, 13.978, +166.187, 7.0, mw
1990, 06, 14, +11.667, +122.003, 7.0, mw
1990, 08, 12, 19.480, +169.122, 7.0, mw
2016, 04, 15, +32.791, +130.754, 7.0, Mww
1988, 01, 19, 24.728, 70.542, 7.0, mw
1985, 04, 23, +15.322, +120.626, 7.0, mw
1991, 05, 19, +1.154, +122.976, 7.0, mw
2012, 02, 02, 17.753, +167.181, 7.0, MW
1984, 01, 08, 2.825, +118.759, 7.0, mw
1983, 12, 21, 28.135, 63.152, 7.0, mw
1983, 12, 02, +14.074, 91.948, 7.0, mw
2016, 09, 01, 37.359, +179.146, 7.0, mww
2013, 04, 06, 3.471, +138.474, 7.0, MW
1991, 02, 18, +8.909, +126.506, 7.0, mw
1999, 06, 15, +18.369, 97.444, 7.0, Mw
1981, 03, 06, +3.933, 85.883, 7.0, mw
2011, 10, 28, 14.557, 76.121, 7.0, MW
2006, 08, 20, 61.016, 34.285, 7.0, MW
1997, 11, 25, +1.209, +122.562, 7.0, mw
2018, 12, 29, +5.898, +126.921, 7.0, mww
1992, 05, 27, 11.113, +165.219, 7.0, mw
1981, 11, 07, 32.166, 71.430, 7.0, mw
2006, 12, 26, +21.864, +120.545, 7.0, Mw
1993, 05, 11, +7.233, +126.648, 7.0, mw
1993, 05, 24, 22.888, 66.522, 7.0, mw
2015, 05, 07, 7.302, +154.555, 7.0, MW
1994, 11, 14, +13.546, +121.135, 7.0, mw
1995, 02, 05, 37.657, +178.891, 7.0, mw
2007, 09, 30, +10.536, +145.799, 7.0, MW
